iter	Passed	Remaining
1248	1979	5945
1249	1981	5943
1250	1982	5941
1251	1984	5939
1252	1985	5937
1253	1987	5935
1254	1988	5933
1255	1989	5931
1256	1991	5929
1257	1992	5928
1258	1994	5927
1259	1996	5925
1260	1997	5923
1261	1998	5920
1262	2000	5918
1263	2001	5917
1264	2004	5917
1265	2006	5918
1266	2009	5920
1267	2011	5919
1268	2013	5920
1269	2017	5924
1270	2019	5925
1271	2021	5925
1272	2024	5926
1273	2025	5925
1274	2028	5925
1275	2030	5925
1276	2032	5925
1277	2034	5925
1278	2036	5926
1279	2038	5925
1280	2040	5922
1281	2041	5920
1282	2043	5919
1283	2044	5917
1284	2046	5916
1285	2048	5916
1286	2049	5914
1287	2051	5912
1288	2052	5909
1289	2054	5908
1290	2055	5906
1291	2057	5904
1292	2058	5902
1293	2060	5901
1294	2062	5901
1295	2064	5900
1296	2066	5899
1297	2067	5897
1298	2069	5895
1299	2070	5894
1300	2072	5892
1301	2073	5890
1302	2075	5888
1303	2076	5886
1304	2078	5886
1305	2080	5884
1306	2081	5882
1307	2083	5880
1308	2084	5878
1309	2086	5876
1310	2087	5874
1311	2089	5872
1312	2090	5869
1313	2091	5867
1314	2092	5865
1315	2094	5864
1316	2096	5862
1317	2097	5860
1318	2099	5858
1319	2100	5855
1320	2101	5853
1321	2103	5851
1322	2105	5850
1323	2106	5848
1324	2107	5846
1325	2109	5843
1326	2110	5842
1327	2112	5841
1328	2113	5839
1329	2115	5837
1330	2116	5835
1331	2118	5833
1332	2119	5831
1333	2121	5831
1334	2123	5829
1335	2125	5827
1336	2126	5825
1337	2127	5823
1338	2129	5822
1339	2130	5820
1340	2132	5818
1341	2133	5816
1342	2135	5815
1343	2137	5813
1344	2138	5811
1345	2139	5809
1346	2141	5807
1347	2142	5805
1348	2144	5803
1349	2145	5801
1350	2147	5799
1351	2148	5797
1352	2149	5794
1353	2151	5793
1354	2152	5791
1355	2154	5789
1356	2155	5786
1357	2157	5785
1358	2158	5783
1359	2160	5781
1360	2161	5779
1361	2162	5777
1362	2164	5775
1363	2165	5773
1364	2167	5771
1365	2168	5770
1366	2170	5769
1367	2172	5767
1368	2173	5765
1369	2175	5763
1370	2178	5765
1371	2179	5763
1372	2181	5762
1373	2183	5762
1374	2186	5763
1375	2188	5764
1376	2190	5764
1377	2192	5764
1378	2195	5763
1379	2197	5765
1380	2200	5766
1381	2202	5766
1382	2204	5765
1383	2206	5764
1384	2209	5766
1385	2211	5766
1386	2213	5765
1387	2214	5763
1388	2216	5762
